month,lf,link
1,68.2,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---january-2022/
2,72.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---february-2022/#:~:text=In%20February%202022%2C%20industry%2Dwide,the%20levels%20of%20February%202019."
3,73.9,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-market-analysis-march-2024/
4,79.5,"https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---april-2022/#:~:text=In%20April%202022%2C%20industry%2Dwide,3.8%25%20increase%20since%20last%20month."
5,80.7,"https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---may-2022/#:~:text=In%20May%202022%2C%20industry%2Dwide,a%206%25%20increase%20from%20April."
6,86,"https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis/#:~:text=In%20June%202022%2C%20industry%2Dwide,2019%20levels%20(Chart%201)."
7,87,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---july-2022/
8,86.2,"https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---august-2022/#:~:text=North%20American%20carriers%20delivered%20an,in%20terms%20of%20international%20flights.&text=The%20industry%2Dwide%20passenger%20load,European%20carriers%20leading%20at%2086.2%25."
9,84.7,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-monthly-analysis---september-2022/
10,84.8,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-market-analysis/
11,83.8,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-market-analysis---november-2022/
12,83.6,https://www.iata.org/en/iata-repository/publications/economic-reports/air-passenger-market-analysis---december-2022/
